4001, 中3, 1, 1, 1, 1, 1, 0, 0
4002, 中3, 1, 1, 1, 1, 1, 0, 0
5001, 中2, 2, 1, 1, 1, 0, 0, 0
6001, 中1, 1, 0, 1, 1, 0, 0, 0
4003, 中3, 1, 1, 0, 0, 0, 0, 0
4004, 中3, 1, 2, 1, 0, 0, 0, 0
3001, 高1, 0, 0, 0, 0, 0, 2, 1
7001, 小6, 1, 1, 1, 0, 0, 0, 0
6002, 中1, 1, 0, 1, 0, 0, 0, 0
4005, 中3, 2, 1, 0, 1, 0, 0, 0
4006, 中3, 2, 1, 1, 1, 0, 0, 0
4007, 中3, 0, 0, 1, 1, 0, 0, 0
6003, 中1, 0, 1, 1, 0, 0, 0, 0
5002, 中2, 1, 1, 0, 1, 0, 0, 0
3002, 高1, 0, 0, 0, 0, 0, 2, 1
6004, 中1, 0, 2, 0, 0, 0, 0, 0
7002, 小6, 1, 0, 0, 0, 0, 0, 0
5003, 中2, 1, 1, 1, 0, 0, 0, 0
2001, 高2, 0, 0, 0, 0, 0, 1, 1
4008, 中3, 1, 1, 1, 0, 1, 0, 0
5004, 中2, 2, 1, 0, 0, 0, 0, 0
8001, 小5, 0, 0, 1, 0, 0, 0, 0
4009, 中3, 0, 1, 1, 0, 1, 0, 0
8002, 小5, 1, 1, 0, 0, 0, 0, 0
4010, 中3, 1, 2, 0, 1, 0, 0, 0
3003, 高1, 0, 0, 0, 0, 0, 1, 1
7003, 小6, 1, 0, 0, 0, 0, 0, 0
6005, 中1, 1, 1, 0, 1, 0, 0, 0
5005, 中2, 0, 2, 1, 1, 0, 0, 0
5006, 中2, 1, 1, 1, 0, 1, 0, 0
6006, 中1, 1, 1, 0, 0, 0, 0, 0
4011, 中3, 1, 1, 1, 1, 0, 0, 0
4012, 中3, 1, 1, 0, 0, 0, 0, 0
8003, 小5, 1, 0, 1, 0, 0, 0, 0
4013, 中3, 2, 1, 1, 0, 0, 0, 0
7004, 小6, 0, 1, 1, 0, 0, 0, 0
3004, 高1, 0, 0, 0, 0, 0, 2, 0
4014, 中3, 1, 2, 1, 0, 0, 0, 0
7005, 小6, 0, 0, 1, 0, 0, 0, 0
5007, 中2, 1, 1, 0, 1, 0, 0, 0
7006, 小6, 1, 0, 0, 0, 0, 0, 0
3005, 高1, 0, 0, 0, 0, 0, 1, 0
5008, 中2, 1, 0, 0, 0, 0, 0, 0
5009, 中2, 1, 1, 0, 0, 0, 0, 0
6007, 中1, 1, 1, 0, 1, 0, 0, 0
4015, 中3, 2, 1, 1, 1, 0, 0, 0
6008, 中1, 1, 1, 0, 0, 0, 0, 0
4016, 中3, 1, 1, 1, 0, 0, 0, 0
5010, 中2, 2, 0, 1, 0, 0, 0, 0
4017, 中3, 1, 1, 1, 1, 0, 0, 0
6009, 中1, 1, 1, 0, 0, 0, 0, 0
7007, 小6, 1, 1, 1, 0, 0, 0, 0
4018, 中3, 1, 1, 1, 0, 1, 0, 0
5011, 中2, 1, 1, 1, 0, 0, 0, 0
5012, 中2, 1, 1, 0, 0, 0, 0, 0
4019, 中3, 1, 1, 1, 0, 0, 0, 0
5013, 中2, 1, 0, 0, 0, 0, 0, 0
4020, 中3, 1, 2, 1, 0, 0, 0, 0
